Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
J Syed Mohammad,AJ Finch,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,A Mithun,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,AA Jhunjhunwala,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,AM Nayar,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
J Syed Mohammad,AS Raut,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
J Syed Mohammad,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,AN Ahmed,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
J Syed Mohammad,AC Voges,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
J Syed Mohammad,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,A Zampa,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
J Syed Mohammad,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
J Syed Mohammad,AD Mascarenhas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
J Syed Mohammad,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,AB Agarkar,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
J Syed Mohammad,A Chandila,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
J Syed Mohammad,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,AR Patel,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
J Syed Mohammad,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
J Syed Mohammad,AG Murtaza,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
J Syed Mohammad,A Mishra,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.1
J Syed Mohammad,A Singh,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
J Syed Mohammad,A Uniyal,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
J Syed Mohammad,A Ashish Reddy,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
J Syed Mohammad,Anand Rajan,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
J Syed Mohammad,AD Russell,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
J Syed Mohammad,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
J Syed Mohammad,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
J Syed Mohammad,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,A Kumble,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
J Syed Mohammad,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
J Syed Mohammad,Ankit Sharma,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
J Syed Mohammad,AS Rajpoot,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
J Syed Mohammad,AUK Pathan,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J Syed Mohammad,A Nehra,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
J Syed Mohammad,AA Noffke,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
J Syed Mohammad,AB Dinda,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
J Syed Mohammad,AL Menaria,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
J Syed Mohammad,Azhar Mahmood,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
J Syed Mohammad,B Akhil,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
J Syed Mohammad,BAW Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
