Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
BB McCullum,AJ Finch,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
BB McCullum,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,A Mithun,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
BB McCullum,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,AA Jhunjhunwala,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0
BB McCullum,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,AS Raut,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
BB McCullum,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,AN Ahmed,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
BB McCullum,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
BB McCullum,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,A Zampa,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
BB McCullum,AP Dole,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
BB McCullum,AD Mascarenhas,0.4,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1
BB McCullum,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,AB Agarkar,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
BB McCullum,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
BB McCullum,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,AR Patel,0.38636363636363635,0.3181818181818182,0.022727272727272728,0.022727272727272728,0.06818181818181818,0.0,0.022727272727272728,0.06818181818181818,0.09090909090909091
BB McCullum,AC Thomas,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,AG Murtaza,0.4827586206896552,0.3103448275862069,0.034482758620689655,0.0,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.06896551724137931
BB McCullum,A Mishra,0.2692307692307692,0.38461538461538464,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464
BB McCullum,A Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,A Uniyal,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
BB McCullum,A Ashish Reddy,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,Anand Rajan,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
BB McCullum,AD Russell,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
BB McCullum,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,AB McDonald,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
BB McCullum,A Flintoff,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
BB McCullum,A Symonds,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,A Kumble,0.5,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464
BB McCullum,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,Ankit Sharma,0.4583333333333333,0.25,0.041666666666666664,0.0,0.125,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664
BB McCullum,AS Rajpoot,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
BB McCullum,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,A Nehra,0.5,0.1875,0.03125,0.0,0.125,0.0,0.03125,0.03125,0.09375
BB McCullum,AA Noffke,0.2,0.4,0.06666666666666667,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.13333333333333333
BB McCullum,AB Dinda,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667
BB McCullum,AL Menaria,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0
BB McCullum,Azhar Mahmood,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,B Akhil,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.0,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0
BB McCullum,BAW Mendis,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,BMAJ Mendis,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0
BB McCullum,BB Sran,0.45454545454545453,0.13636363636363635,0.045454545454545456,0.0,0.13636363636363635,0.0,0.045454545454545456,0.045454545454545456,0.13636363636363635
BB McCullum,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,B Laughlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,BCJ Cutting,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,BE Hendricks,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,B Chipli,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0
BB McCullum,BA Bhatt,0.5,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333
BB McCullum,B Kumar,0.4772727272727273,0.3181818181818182,0.045454545454545456,0.022727272727272728,0.022727272727272728,0.0,0.022727272727272728,0.022727272727272728,0.06818181818181818
BB McCullum,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,Bipul Sharma,0.1875,0.3125,0.0625,0.0625,0.0625,0.0,0.0625,0.1875,0.0625
BB McCullum,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,BJ Hodge,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
BB McCullum,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,B Lee,0.5555555555555556,0.1111111111111111,0.05555555555555555,0.0,0.1111111111111111,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555
BB McCullum,CL White,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285
BB McCullum,CR Brathwaite,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
BB McCullum,CK Kapugedera,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
BB McCullum,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB McCullum,CK Langeveldt,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
BB McCullum,C Nanda,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
BB McCullum,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
