Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
MV Boucher,AJ Finch,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
MV Boucher,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,A Mithun,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MV Boucher,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
MV Boucher,AM Nayar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MV Boucher,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
MV Boucher,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,AN Ahmed,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
MV Boucher,AC Voges,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
MV Boucher,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,A Zampa,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MV Boucher,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
MV Boucher,AD Mascarenhas,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0
MV Boucher,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,AB Agarkar,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385
MV Boucher,A Chandila,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
MV Boucher,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,AR Patel,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
MV Boucher,AC Thomas,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
MV Boucher,AG Murtaza,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
MV Boucher,A Mishra,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
MV Boucher,A Singh,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
MV Boucher,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
MV Boucher,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
MV Boucher,Anand Rajan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
MV Boucher,AD Russell,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
MV Boucher,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,AB McDonald,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
MV Boucher,A Flintoff,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
MV Boucher,A Symonds,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
MV Boucher,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MV Boucher,A Kumble,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
MV Boucher,AA Chavan,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
MV Boucher,Ankit Sharma,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.125
MV Boucher,AS Rajpoot,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
MV Boucher,AUK Pathan,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
