Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
S Badrinath,AJ Finch,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0
S Badrinath,Aavishkar Madhav Salvi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,A Mithun,0.2,0.3,0.1,0.0,0.1,0.0,0.1,0.1,0.1
S Badrinath,A Mukund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,AA Jhunjhunwala,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285
S Badrinath,AM Nayar,0.15384615384615385,0.46153846153846156,0.11538461538461539,0.0,0.15384615384615385,0.0,0.038461538461538464,0.038461538461538464,0.038461538461538464
S Badrinath,AS Raut,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
S Badrinath,Abrar Anjum Kazi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,AN Ahmed,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
S Badrinath,AC Voges,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0
S Badrinath,AC Gilchrist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,Adam Fraser Milne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,Adam John Hollioake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,A Zampa,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
S Badrinath,AP Dole,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
S Badrinath,AD Mascarenhas,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
S Badrinath,AC Blizzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,AM Rahane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,AB Agarkar,0.1,0.3,0.1,0.1,0.1,0.0,0.1,0.1,0.1
S Badrinath,A Chandila,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0
S Badrinath,AD Nath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,AR Patel,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091
S Badrinath,AC Thomas,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
S Badrinath,AG Murtaza,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
S Badrinath,A Mishra,0.3333333333333333,0.37037037037037035,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035
S Badrinath,A Singh,0.23529411764705882,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
S Badrinath,A Uniyal,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25
S Badrinath,A Ashish Reddy,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
S Badrinath,Anand Rajan,0.25,0.25,0.125,0.0,0.125,0.0,0.0,0.125,0.125
S Badrinath,AD Russell,0.2,0.2,0.1,0.0,0.2,0.0,0.1,0.1,0.1
S Badrinath,Andre Nel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,AB McDonald,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
S Badrinath,A Flintoff,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
S Badrinath,A Symonds,0.4375,0.125,0.0625,0.0,0.0625,0.0,0.0625,0.0625,0.1875
S Badrinath,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,A Kumble,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,0.07692307692307693
S Badrinath,AA Chavan,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
S Badrinath,Ankit Sharma,0.125,0.125,0.125,0.0,0.125,0.125,0.125,0.125,0.125
S Badrinath,AS Rajpoot,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
S Badrinath,AUK Pathan,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
S Badrinath,A Nehra,0.34615384615384615,0.34615384615384615,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464
S Badrinath,AA Noffke,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,AB Dinda,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
S Badrinath,AL Menaria,0.4,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.0
S Badrinath,Azhar Mahmood,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
S Badrinath,B Akhil,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
S Badrinath,BAW Mendis,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
S Badrinath,BMAJ Mendis,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
S Badrinath,BB Sran,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
S Badrinath,BJ Rohrer,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
S Badrinath,B Laughlin,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
S Badrinath,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,BCJ Cutting,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0
S Badrinath,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S Badrinath,BE Hendricks,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.125,0.125
